result,date,season,opponent_slug,opponent,match_key,ace_pct_serving,aces_per_set_serving,aces_serving,assisted_blks_blocking,assists_ball_handling,assists_per_set_ball_handling,ball_handling_att_ball_handling,ball_handling_err_ball_handling,blk_err_blocking,blks_per_set_blocking,dig_err_digging,digs_digging,digs_per_set_digging,hit_pct_attacking,kill_att_attacking,kill_err_attacking,kill_pct_attacking,kills_attacking,kills_per_set_attacking,points_serving,receiving_err_serve_receiving,receiving_per_set_serve_receiving,receiving_serve_receiving,serve_att_serving,serve_err_serving,serve_pct_serving,solo_blks_blocking,total_blks_blocking
W 3-0,2016-09-01,FR,TA,Takoma Academy,FR_09-01_TA_1,40.0,2.0,6,0,0,0.0,0,0,0,0.0,0,7,2.3,-0.04,25,6,20.0,5,1.7,0,2,4.3,13,15,2,86.7,0,0
W 2-0,2016-09-09,FR,RCSA,River City Science Academy,FR_09-09_RCSA_1,33.3,1.0,2,0,0,0.0,0,0,0,0.5,0,5,2.5,0.357,14,1,42.9,6,3.0,0,0,6.5,13,6,0,100.0,1,1
W 2-0,2016-09-09,FR,INTERLACHEN,Interlachen,FR_09-09_INTERLACHEN_1,50.0,2.0,4,0,0,0.0,0,0,0,0.5,0,10,5.0,0.0,18,3,16.7,3,1.5,0,2,4.0,8,8,0,100.0,1,1
W 2-0,2016-09-09,FR,FSDB,Florida School for the Deaf & Blind,FR_09-09_FSDB_1,62.5,2.5,5,0,0,0.0,0,0,0,0.5,0,4,2.0,-0.067,15,4,20.0,3,1.5,0,2,6.0,12,8,0,100.0,1,1
W 3-0,2016-09-17,FR,AIDB,Alabama School for the Deaf,FR_09-17_AIDB_1,22.2,0.7,2,0,0,0.0,0,0,0,0.0,0,10,3.3,0.2,25,6,44.0,11,3.7,0,0,4.0,12,9,1,88.9,0,0
W 3-0,2016-09-20,FR,SJDS,Smith Jewish Day School,FR_09-20_SJDS_1,37.5,1.0,3,0,1,0.3,0,0,0,0.0,0,12,4.0,0.182,22,3,31.8,7,2.3,0,1,4.0,12,8,0,100.0,0,0
W 3-0,2016-09-22,FR,RB,Riverdale Baptist,FR_09-22_RB_1,20.0,0.7,2,0,0,0.0,0,0,0,0.0,0,19,6.3,0.364,11,1,45.5,5,1.7,0,3,5.3,16,10,1,90.0,0,0
L 0-2,2016-09-24,FR,ISA,Islamic Saudi Academy,FR_09-24_ISA_1,0.0,0.0,0,0,2,1.0,0,0,0,0.0,0,4,2.0,-0.222,9,3,11.1,1,0.5,0,2,5.5,11,3,1,66.7,0,0
W 2-0,2016-09-24,FR,SIDWELL,Sidwell Friends,FR_09-24_SIDWELL_1,50.0,0.5,1,0,0,0.0,0,0,0,0.0,0,10,5.0,0.056,18,2,16.7,3,1.5,0,1,5.0,10,2,0,100.0,0,0
L 0-2,2016-09-24,FR,WILSON,Woodrow Wilson,FR_09-24_WILSON_1,50.0,1.0,2,0,0,0.0,0,0,0,0.0,0,2,1.0,-0.125,16,6,25.0,4,2.0,0,0,2.0,4,4,0,100.0,0,0
W 2-1,2016-09-24,FR,SIDWELL,Sidwell Friends,FR_09-24_SIDWELL_1,0.0,0.0,0,0,1,0.3,0,0,0,0.0,0,6,2.0,0.429,14,0,42.9,6,2.0,0,1,2.7,8,4,2,50.0,0,0
,2016-09-24,FR,CSHC,Connelly School of the Holy Child,FR_09-24_CSHC_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-09-27,FR,MCLEAN,McLean,FR_09-27_MCLEAN_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 3-0,2016-10-04,FR,OAKCREST,Oakcrest,FR_10-04_OAKCREST_1,50.0,1.7,5,0,0,0.0,0,0,0,0.3,0,12,4.0,0.409,22,2,50.0,11,3.7,0,4,2.3,7,10,1,90.0,1,1
L 0-2,2016-10-07,FR,MSD,Maryland School for the Deaf,FR_10-07_MSD_1,0.0,0.0,0,1,0,0.0,0,0,0,0.5,0,2,1.0,-0.05,20,4,15.0,3,1.5,0,1,5.0,10,3,0,100.0,0,1
W 2-1,2016-10-07,FR,CSDR,California School for the Deaf-Riverside,FR_10-07_CSDR_1,8.3,0.3,1,0,0,0.0,0,0,0,0.0,0,9,3.0,0.143,21,3,28.6,6,2.0,0,2,2.3,7,12,0,100.0,0,0
L 0-2,2016-10-07,FR,TSD,Texas School for the Deaf,FR_10-07_TSD_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,11,5.5,-0.077,13,3,15.4,2,1.0,0,3,4.5,9,2,2,0.0,0,0
L 1-2,2016-10-07,FR,CSDF,California School for the Deaf,FR_10-07_CSDF_1,0.0,0.0,0,1,0,0.0,0,0,0,0.3,0,2,0.7,0.071,14,2,21.4,3,1.0,0,4,5.3,16,5,1,80.0,0,1
L 0-2,2016-10-08,FR,ISD,Indiana School for the Deaf,FR_10-08_ISD_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,3,1.5,0.0,13,2,15.4,2,1.0,0,4,5.0,10,3,0,100.0,0,0
L 0-2,2016-10-08,FR,CSDF,California School for the Deaf,FR_10-08_CSDF_1,0.0,0.0,0,1,0,0.0,0,0,1,0.5,0,7,3.5,0.421,19,1,47.4,9,4.5,0,1,7.0,14,7,0,100.0,0,1
L 1-2,2016-10-08,FR,CSDR,California School for the Deaf-Riverside,FR_10-08_CSDR_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,8,2.7,0.045,22,3,18.2,4,1.3,0,3,2.3,7,3,0,100.0,0,0
W 3-0,2016-10-11,FR,RB,Riverdale Baptist,FR_10-11_RB_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,11,3.7,0.067,15,1,13.3,2,0.7,0,3,5.0,15,5,1,80.0,0,0
W 3-1,2016-10-12,FR,BURKE,Burke,FR_10-12_BURKE_1,10.0,0.3,1,0,1,0.3,0,0,0,0.0,0,6,1.5,0.111,18,3,27.8,5,1.3,0,1,2.3,9,10,0,100.0,0,0
W 3-0,2016-10-13,FR,BHA,Berman Hebrew Academy,FR_10-13_BHA_1,50.0,0.7,2,0,0,0.0,0,0,0,0.0,0,7,2.3,0.333,6,2,66.7,4,1.3,0,0,1.0,3,4,1,75.0,0,0
W 3-0,2016-10-15,FR,MISD,Mississippi School for the Deaf,FR_10-15_MISD_1,16.7,0.7,2,0,2,0.7,0,0,0,0.0,0,8,2.7,0.111,27,6,33.3,9,3.0,0,1,1.7,5,12,0,100.0,0,0
W 3-0,2016-10-18,FR,SAA,Spencerville Adventist Academy,FR_10-18_SAA_1,37.0,3.3,10,0,1,0.3,0,0,0,0.0,0,17,5.7,-0.069,29,5,10.3,3,1.0,0,1,5.3,16,27,1,96.3,0,0
L 2-3,2016-10-19,FR,WIS,Washington International,FR_10-19_WIS_1,30.8,0.8,4,0,1,0.2,0,0,0,0.0,0,23,4.6,0.097,31,2,16.1,5,1.0,0,1,3.2,16,13,1,92.3,0,0
W 3-0,2016-10-20,FR,FIELD,Field,FR_10-20_FIELD_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.6,5,0,60.0,3,3.0,0,0,2.0,2,0,0,0.0,0,0
L 1-3,2016-10-21,FR,SRSSH,Stone Ridge School of the Sacred Heart,FR_10-21_SRSSH_1,10.0,0.3,1,0,1,0.3,0,0,1,0.0,0,18,4.5,0.125,24,2,20.8,5,1.3,0,2,5.8,23,10,1,90.0,0,0
L 0-3,2016-10-24,FR,CL,Covenant Life,FR_10-24_CL_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,8,2.7,-0.05,20,3,10.0,2,0.7,0,4,5.7,17,5,1,80.0,0,0
L 0-3,2016-10-26,FR,KAA,King Abdullah Academy,FR_10-26_KAA_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0.3,-0.4,5,3,20.0,1,0.3,0,3,3.3,10,0,0,0.0,0,0
L 0-3,2016-10-27,FR,GTD,Georgetown Day,FR_10-27_GTD_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,17,5.7,0.042,24,2,12.5,3,1.0,0,3,5.3,16,7,1,85.7,0,0
