date,match_number,result,opponent,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct,assists,assists_per_set,ball_handling_att,ball_handling_err,solo_blks,assisted_blks,total_blks,blks_per_set,blk_err,digs,dig_err,digs_per_set,receiving,receiving_err,recieving_per_set,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points
09/01,1,W 3-0,Takoma Academy,3,5,1.7,20.0,25,6,-0.04,0,0.0,0,0,0,0,0,0.0,0,7,0,2.3,13,2,4.3,6,2.0,40.0,15,2,86.7,0
09/09,1,W 2-0,River City Science Academy,2,6,3.0,42.9,14,1,0.357,0,0.0,0,0,1,0,1,0.5,0,5,0,2.5,13,0,6.5,2,1.0,33.3,6,0,100.0,0
09/09,2,W 2-0,Interlachen,2,3,1.5,16.7,18,3,0.0,0,0.0,0,0,1,0,1,0.5,0,10,0,5.0,8,2,4.0,4,2.0,50.0,8,0,100.0,0
09/09,3,W 2-0,Florida School for the Deaf & Blind,2,3,1.5,20.0,15,4,-0.067,0,0.0,0,0,1,0,1,0.5,0,4,0,2.0,12,2,6.0,5,2.5,62.5,8,0,100.0,0
09/17,1,W 3-0,Alabama School for the Deaf,3,11,3.7,44.0,25,6,0.2,0,0.0,0,0,0,0,0,0.0,0,10,0,3.3,12,0,4.0,2,0.7,22.2,9,1,88.9,0
09/20,1,W 3-0,Smith Jewish Day School,3,7,2.3,31.8,22,3,0.182,1,0.3,0,0,0,0,0,0.0,0,12,0,4.0,12,1,4.0,3,1.0,37.5,8,0,100.0,0
09/22,1,W 3-0,Riverdale Baptist,3,5,1.7,45.5,11,1,0.364,0,0.0,0,0,0,0,0,0.0,0,19,0,6.3,16,3,5.3,2,0.7,20.0,10,1,90.0,0
09/24,1,L 0-2,Islamic Saudi Academy,2,1,0.5,11.1,9,3,-0.222,2,1.0,0,0,0,0,0,0.0,0,4,0,2.0,11,2,5.5,0,0.0,0.0,3,1,66.7,0
09/24,2,W 2-0,Sidwell Friends,2,3,1.5,16.7,18,2,0.056,0,0.0,0,0,0,0,0,0.0,0,10,0,5.0,10,1,5.0,1,0.5,50.0,2,0,100.0,0
09/24,3,L 0-2,Jackson-Reed,2,4,2.0,25.0,16,6,-0.125,0,0.0,0,0,0,0,0,0.0,0,2,0,1.0,4,0,2.0,2,1.0,50.0,4,0,100.0,0
09/24,4,W 2-1,Sidwell Friends,3,6,2.0,42.9,14,0,0.429,1,0.3,0,0,0,0,0,0.0,0,6,0,2.0,8,1,2.7,0,0.0,0.0,4,2,50.0,0
10/04,1,W 3-0,Oakcrest,3,11,3.7,50.0,22,2,0.409,0,0.0,0,0,1,0,1,0.3,0,12,0,4.0,7,4,2.3,5,1.7,50.0,10,1,90.0,0
10/07,1,L 0-2,Maryland School for the Deaf,2,3,1.5,15.0,20,4,-0.05,0,0.0,0,0,0,1,1,0.5,0,2,0,1.0,10,1,5.0,0,0.0,0.0,3,0,100.0,0
10/07,2,W 2-1,California School for the Deaf-Riverside,3,6,2.0,28.6,21,3,0.143,0,0.0,0,0,0,0,0,0.0,0,9,0,3.0,7,2,2.3,1,0.3,8.3,12,0,100.0,0
10/07,3,L 0-2,Texas School for the Deaf,2,2,1.0,15.4,13,3,-0.077,0,0.0,0,0,0,0,0,0.0,0,11,0,5.5,9,3,4.5,0,0.0,0.0,2,2,0.0,0
10/07,4,L 1-2,California School for the Deaf,3,3,1.0,21.4,14,2,0.071,0,0.0,0,0,0,1,1,0.3,0,2,0,0.7,16,4,5.3,0,0.0,0.0,5,1,80.0,0
10/08,1,L 0-2,Indiana School for the Deaf,2,2,1.0,15.4,13,2,0.0,0,0.0,0,0,0,0,0,0.0,0,3,0,1.5,10,4,5.0,0,0.0,0.0,3,0,100.0,0
10/08,2,L 0-2,California School for the Deaf,2,9,4.5,47.4,19,1,0.421,0,0.0,0,0,0,1,1,0.5,1,7,0,3.5,14,1,7.0,0,0.0,0.0,7,0,100.0,0
10/08,3,L 1-2,California School for the Deaf-Riverside,3,4,1.3,18.2,22,3,0.045,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,7,3,2.3,0,0.0,0.0,3,0,100.0,0
10/11,1,W 3-0,Riverdale Baptist,3,2,0.7,13.3,15,1,0.067,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,15,3,5.0,0,0.0,0.0,5,1,80.0,0
10/12,1,W 3-1,Burke,4,5,1.3,27.8,18,3,0.111,1,0.3,0,0,0,0,0,0.0,0,6,0,1.5,9,1,2.3,1,0.3,10.0,10,0,100.0,0
10/13,1,W 3-0,Berman Hebrew Academy,3,4,1.3,66.7,6,2,0.333,0,0.0,0,0,0,0,0,0.0,0,7,0,2.3,3,0,1.0,2,0.7,50.0,4,1,75.0,0
10/15,1,W 3-0,Mississippi School for the Deaf,3,9,3.0,33.3,27,6,0.111,2,0.7,0,0,0,0,0,0.0,0,8,0,2.7,5,1,1.7,2,0.7,16.7,12,0,100.0,0
10/18,1,W 3-0,Spencerville Adventist Academy,3,3,1.0,10.3,29,5,-0.069,1,0.3,0,0,0,0,0,0.0,0,17,0,5.7,16,1,5.3,10,3.3,37.0,27,1,96.3,0
10/19,1,L 2-3,Washington International,5,5,1.0,16.1,31,2,0.097,1,0.2,0,0,0,0,0,0.0,0,23,0,4.6,16,1,3.2,4,0.8,30.8,13,1,92.3,0
10/20,1,W 3-0,Field,1,3,3.0,60.0,5,0,0.6,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,2,0,2.0,0,0.0,0.0,0,0,0.0,0
10/21,1,L 1-3,Stone Ridge School of the Sacred Heart,4,5,1.3,20.8,24,2,0.125,1,0.3,0,0,0,0,0,0.0,1,18,0,4.5,23,2,5.8,1,0.3,10.0,10,1,90.0,0
10/24,1,L 0-3,Covenant Life,3,2,0.7,10.0,20,3,-0.05,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,17,4,5.7,0,0.0,0.0,5,1,80.0,0
10/26,1,L 0-3,King Abdullah Academy,3,1,0.3,20.0,5,3,-0.4,0,0.0,0,0,0,0,0,0.0,0,1,0,0.3,10,3,3.3,0,0.0,0.0,0,0,0.0,0
10/27,1,L 0-3,Georgetown Day,3,3,1.0,12.5,24,2,0.042,0,0.0,0,0,0,0,0,0.0,0,17,0,5.7,16,3,5.3,0,0.0,0.0,7,1,85.7,0
11/08,1,W 3-0,Parkside,3,10,3.3,47.6,21,3,0.333,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,6,0,2.0,11,3.7,57.9,19,0,100.0,0
11/09,1,W 3-0,Jackson-Reed,3,4,1.3,40.0,10,2,0.2,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,12,3,4.0,4,1.3,20.0,20,0,100.0,0
11/10,1,W 3-0,Maret,3,6,2.0,31.6,19,2,0.211,2,0.7,0,0,0,0,0,0.0,0,9,0,3.0,14,4,4.7,1,0.3,9.1,11,1,90.9,0
11/11,1,L 0-3,St. John's,3,4,1.3,23.5,17,1,0.176,0,0.0,0,0,0,0,0,0.0,0,13,0,4.3,17,2,5.7,0,0.0,0.0,4,0,100.0,0
