date,match_number,match_id,match_index,season_label,season_year,result,set_result,set_diff,set_count,margin_pct,numeric_result,opponent,weekday,is_duplicate_opponent_on_date,is_tournament,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct,assists,assists_per_set,ball_handling_att,ball_handling_err,solo_blks,assisted_blks,total_blks,blks_per_set,blk_err,digs,dig_err,digs_per_set,receiving,receiving_err,recieving_per_set,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points,opponent_original,opponent_unknown,opponent_code
2019-08-29,1,2019_2019-08-29_G1,1,senior,2019,W,3-2,1.0,5.0,0.2,1,Maret,Thursday,False,False,5,11,2.2,34.4,32,4,0.219,3,0.6,16,1,0,0,0,0.0,0,20,3,4.0,24,2,4.8,14,2.8,42.4,33,2,93.9,24.0,Maret,False,maret
2019-09-03,1,2019_2019-09-03_G1,2,senior,2019,W,3-0,3.0,3.0,1.0,1,DC International,Tuesday,False,False,3,10,3.3,33.3,30,7,0.1,2,0.7,13,0,1,0,1,0.3,0,14,0,4.7,12,3,4.0,6,2.0,33.3,18,2,88.9,12.0,DC International,False,dc_international
2019-09-05,1,2019_2019-09-05_G1,3,senior,2019,L,0-3,-3.0,3.0,-1.0,-1,Covenant Life,Thursday,False,False,3,5,1.7,14.3,35,5,0.0,0,0.0,5,0,0,0,0,0.0,1,10,2,3.3,12,3,4.0,0,0.0,0.0,6,0,100.0,1.0,Covenant Life,False,covenant_life
2019-09-07,1,2019_2019-09-07_G1,4,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Bishop Ireton,Saturday,False,True,2,5,2.5,23.8,21,5,0.0,0,0.0,3,0,0,0,0,0.0,0,6,0,3.0,7,1,3.5,0,0.0,0.0,7,1,85.7,3.0,Bishop Ireton,False,bishop_ireton
2019-09-07,2,2019_2019-09-07_G2,5,senior,2019,W,2-1,1.0,3.0,0.3333333333333333,1,Highland,Saturday,False,True,3,7,2.3,21.2,33,3,0.121,0,0.0,1,0,0,0,0,0.0,0,21,0,7.0,20,0,6.7,2,0.7,18.2,11,1,90.9,13.0,Highland,False,highland
2019-09-07,3,2019_2019-09-07_G3,6,senior,2019,L,1-2,-1.0,3.0,-0.3333333333333333,-1,Episcopal,Saturday,False,True,3,7,2.3,22.6,31,8,-0.032,0,0.0,5,0,0,0,0,0.0,0,9,0,3.0,13,1,4.3,3,1.0,23.1,13,1,92.3,9.0,Episcopal,False,episcopal
2019-09-10,1,2019_2019-09-10_G1,7,senior,2019,W,3-0,3.0,3.0,1.0,1,Spencerville Adventist Academy,Tuesday,False,False,3,6,2.0,40.0,15,0,0.4,0,0.0,4,1,0,0,0,0.0,0,12,0,4.0,16,0,5.3,5,1.7,31.3,16,3,81.2,10.0,Spencerville Adventist Academy,False,spencerville_adventist_academy
2019-09-12,1,2019_2019-09-12_G1,8,senior,2019,L,0-3,-3.0,3.0,-1.0,-1,Bishop Ireton,Thursday,False,False,3,4,1.3,17.4,23,2,0.087,0,0.0,4,1,0,0,0,0.0,0,10,2,3.3,15,4,5.0,0,0.0,0.0,9,0,100.0,3.0,Bishop Ireton,False,bishop_ireton
2019-09-14,1,2019_2019-09-14_G1,9,senior,2019,W,2-0,2.0,2.0,1.0,1,Shalom Christian Academy,Saturday,False,True,2,8,4.0,30.8,26,1,0.269,1,0.5,1,0,0,0,0,0.0,0,6,1,3.0,11,1,5.5,0,0.0,0.0,6,1,83.3,2.0,Shalom Christian Academy,False,shalom_christian_academy
2019-09-14,2,2019_2019-09-14_G2,10,senior,2019,T,1-1,0.0,2.0,0.0,0,Maryland School for the Deaf,Saturday,True,True,2,6,3.0,25.0,24,2,0.167,0,0.0,2,0,1,0,1,0.5,0,17,0,8.5,13,0,6.5,2,1.0,22.2,9,2,77.8,5.0,Maryland School for the Deaf,False,maryland_school_for_the_deaf
2019-09-14,3,2019_2019-09-14_G3,11,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,St. John's Catholic Prep,Saturday,False,True,2,4,2.0,23.5,17,4,0.0,1,0.5,2,0,0,1,1,0.5,0,8,0,4.0,8,4,4.0,1,0.5,12.5,8,1,87.5,4.0,St. John's Catholic Prep,False,st._john's_catholic_prep
2019-09-14,4,2019_2019-09-14_G4,12,senior,2019,W,2-1,1.0,3.0,0.3333333333333333,1,Maryland School for the Deaf,Saturday,True,True,3,5,1.7,23.8,21,0,0.238,0,0.0,3,0,0,0,0,0.0,0,10,0,3.3,15,2,5.0,1,0.3,11.1,9,1,88.9,3.0,Maryland School for the Deaf,False,maryland_school_for_the_deaf
2019-09-14,5,2019_2019-09-14_G5,13,senior,2019,W,2-0,2.0,2.0,1.0,1,Varsity Opponent,Saturday,False,True,2,4,2.0,33.3,12,0,0.333,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,5,1,2.5,3,1.5,30.0,10,1,90.0,8.0,Varsity Opponent,True,varsity_opponent
2019-09-17,1,2019_2019-09-17_G1,14,senior,2019,W,3-1,2.0,4.0,0.5,1,Washington Christian Academy,Tuesday,False,False,4,13,3.3,36.1,36,5,0.222,0,0.0,3,0,0,0,0,0.0,1,24,2,6.0,15,2,3.8,8,2.0,30.8,26,3,88.5,19.0,Washington Christian Academy,False,washington_christian_academy
2019-09-19,1,2019_2019-09-19_G1,15,senior,2019,W,3-0,3.0,3.0,1.0,1,Varsity Opponent,Thursday,False,False,3,7,2.3,43.8,16,2,0.312,2,0.7,2,0,0,0,0,0.0,0,2,0,0.7,4,0,1.3,14,4.7,53.8,26,2,92.3,22.0,Varsity Opponent,True,varsity_opponent
2019-09-21,1,2019_2019-09-21_G1,16,senior,2019,L,1-2,-1.0,3.0,-0.3333333333333333,-1,DC International,Saturday,False,True,3,10,3.3,29.4,34,6,0.118,0,0.0,1,0,1,0,1,0.3,0,6,2,2.0,17,0,5.7,1,0.3,12.5,8,1,87.5,4.0,DC International,False,dc_international
2019-09-21,2,2019_2019-09-21_G2,17,senior,2019,W,2-0,2.0,2.0,1.0,1,School Without Walls,Saturday,False,True,2,1,0.5,25.0,4,1,0.0,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,1,0,0.5,4,2.0,36.4,11,0,100.0,9.0,School Without Walls,False,school_without_walls
2019-09-21,3,2019_2019-09-21_G3,18,senior,2019,W,2-0,2.0,2.0,1.0,1,King Abdullah Academy,Saturday,False,True,2,6,3.0,54.5,11,0,0.545,0,0.0,0,0,0,0,0,0.0,0,4,0,2.0,3,0,1.5,4,2.0,50.0,8,2,75.0,6.0,King Abdullah Academy,False,king_abdullah_academy
2019-09-21,4,2019_2019-09-21_G4,19,senior,2019,W,2-0,2.0,2.0,1.0,1,Bullis,Saturday,True,True,2,4,2.0,19.0,21,2,0.095,1,0.5,2,0,0,1,1,0.5,0,7,0,3.5,5,0,2.5,6,3.0,54.5,11,0,100.0,9.0,Bullis,False,bullis
2019-09-21,5,2019_2019-09-21_G5,20,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Bullis,Saturday,True,True,2,4,2.0,23.5,17,0,0.235,0,0.0,1,0,0,0,0,0.0,0,10,0,5.0,12,0,6.0,0,0.0,0.0,5,1,80.0,1.0,Bullis,False,bullis
2019-09-24,1,2019_2019-09-24_G1,21,senior,2019,W,3-0,3.0,3.0,1.0,1,Field,Tuesday,False,False,3,12,4.0,54.5,22,3,0.409,0,0.0,1,0,0,0,0,0.0,1,13,0,4.3,14,0,4.7,5,1.7,22.7,22,1,95.5,16.0,Field,False,field
2019-09-25,1,2019_2019-09-25_G1,22,senior,2019,W,3-0,3.0,3.0,1.0,1,Varsity Opponent,Wednesday,False,False,3,7,2.3,41.2,17,4,0.176,0,0.0,1,0,0,0,0,0.0,0,18,0,6.0,16,3,5.3,4,1.3,23.5,17,0,100.0,12.0,Varsity Opponent,True,varsity_opponent
2019-09-27,1,2019_2019-09-27_G1,23,senior,2019,L,1-3,-2.0,4.0,-0.5,-1,Georgetown Day,Friday,False,False,4,8,2.0,17.8,45,3,0.111,1,0.3,4,0,0,0,0,0.0,0,21,2,5.3,30,4,7.5,3,0.8,23.1,13,1,92.3,6.0,Georgetown Day,False,georgetown_day
2019-09-30,1,2019_2019-09-30_G1,24,senior,2019,W,3-0,3.0,3.0,1.0,1,Sandy Spring Friends,Monday,False,False,3,6,2.0,42.9,14,2,0.286,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,2,0,0.7,7,2.3,41.2,17,1,94.1,14.0,Sandy Spring Friends,False,sandy_spring_friends
2019-10-04,1,2019_2019-10-04_G1,25,senior,2019,W,2-0,2.0,2.0,1.0,1,Indiana School for the Deaf,Friday,False,True,2,11,5.5,36.7,30,4,0.233,0,0.0,1,0,0,0,0,0.0,0,8,2,4.0,9,1,4.5,3,1.5,37.5,8,0,100.0,5.0,Indiana School for the Deaf,False,indiana_school_for_the_deaf
2019-10-04,2,2019_2019-10-04_G2,26,senior,2019,W,2-0,2.0,2.0,1.0,1,California School for the Deaf,Friday,False,True,2,7,3.5,28.0,25,3,0.16,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,6,0,3.0,4,2.0,57.1,7,0,100.0,5.0,California School for the Deaf,False,california_school_for_the_deaf
2019-10-04,3,2019_2019-10-04_G3,27,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Texas School for the Deaf,Friday,False,True,2,2,1.0,9.1,22,6,-0.182,0,0.0,0,0,0,0,0,0.0,0,8,0,4.0,16,0,8.0,1,0.5,14.3,7,0,100.0,4.0,Texas School for the Deaf,False,texas_school_for_the_deaf
2019-10-04,4,2019_2019-10-04_G4,28,senior,2019,W,2-1,1.0,3.0,0.3333333333333333,1,California School for the Deaf-Riverside,Friday,False,True,3,10,3.3,41.7,24,3,0.292,0,0.0,5,1,0,0,0,0.0,0,15,2,5.0,12,0,4.0,3,1.0,23.1,13,0,100.0,8.0,California School for the Deaf-Riverside,False,california_school_for_the_deaf-riverside
2019-10-05,1,2019_2019-10-05_G1,29,senior,2019,W,2-0,2.0,2.0,1.0,1,Indiana School for the Deaf,Saturday,False,True,2,7,3.5,25.0,28,4,0.107,0,0.0,2,0,0,0,0,0.0,0,9,1,4.5,10,2,5.0,0,0.0,0.0,6,0,100.0,3.0,Indiana School for the Deaf,False,indiana_school_for_the_deaf
2019-10-05,2,2019_2019-10-05_G2,30,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Texas School for the Deaf,Saturday,False,True,2,7,3.5,22.6,31,5,0.065,0,0.0,0,0,0,0,0,0.0,0,9,3,4.5,15,2,7.5,1,0.5,16.7,6,0,100.0,2.0,Texas School for the Deaf,False,texas_school_for_the_deaf
2019-10-08,1,2019_2019-10-08_G1,31,senior,2019,W,3-0,3.0,3.0,1.0,1,Oakcrest,Tuesday,False,False,3,14,4.7,50.0,28,1,0.464,0,0.0,2,0,0,0,0,0.0,0,8,1,2.7,24,2,8.0,3,1.0,30.0,10,2,80.0,4.0,Oakcrest,False,oakcrest
2019-10-10,1,2019_2019-10-10_G1,32,senior,2019,W,3-0,3.0,3.0,1.0,1,Varsity Opponent,Thursday,False,False,3,5,1.7,62.5,8,1,0.5,0,0.0,0,0,0,1,1,0.3,0,15,0,5.0,8,0,2.7,4,1.3,36.4,11,2,81.8,7.0,Varsity Opponent,True,varsity_opponent
2019-10-12,1,2019_2019-10-12_G1,33,senior,2019,L,1-2,-1.0,3.0,-0.3333333333333333,-1,Roosevelt,Saturday,False,True,2,5,2.5,25.0,20,3,0.1,0,0.0,3,0,0,0,0,0.0,0,16,1,8.0,8,1,4.0,2,1.0,22.2,9,0,100.0,6.0,Roosevelt,False,roosevelt
2019-10-12,2,2019_2019-10-12_G2,34,senior,2019,W,2-0,2.0,2.0,1.0,1,Mount Airy Christian Academy,Saturday,True,True,2,7,3.5,36.8,19,2,0.263,1,0.5,4,0,0,0,0,0.0,0,10,0,5.0,10,0,5.0,2,1.0,28.6,7,2,71.4,4.0,Mount Airy Christian Academy,False,mount_airy_christian_academy
2019-10-12,3,2019_2019-10-12_G3,35,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Princess Anne,Saturday,False,True,2,3,1.5,16.7,18,7,-0.222,0,0.0,0,0,0,0,0,0.0,0,3,2,1.5,15,1,7.5,1,0.5,33.3,3,0,100.0,1.0,Princess Anne,False,princess_anne
2019-10-12,4,2019_2019-10-12_G4,36,senior,2019,W,2-0,2.0,2.0,1.0,1,King Abdullah Academy,Saturday,False,True,2,7,3.5,43.8,16,2,0.312,0,0.0,0,0,0,0,0,0.0,0,13,0,6.5,14,1,7.0,0,0.0,0.0,7,0,100.0,3.0,King Abdullah Academy,False,king_abdullah_academy
