date,match_number,result,opponent,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct,assists,assists_per_set,ball_handling_att,ball_handling_err,solo_blks,assisted_blks,total_blks,blks_per_set,blk_err,digs,dig_err,digs_per_set,receiving,receiving_err,recieving_per_set,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points
08/29,1,W 3-0,Spencerville Adventist Academy,3,4,1.3,33.3,12,3,0.083,0,0.0,0,0,0,0,0,0.0,0,4,0,1.3,7,0,2.3,11,3.7,35.5,31,2,93.5,0
09/05,1,L 0-3,Maret,3,1,0.3,4.2,24,2,-0.042,0,0.0,0,0,0,0,0,0.0,0,4,2,1.3,20,3,6.7,2,0.7,28.6,7,3,57.1,0
09/07,1,W 3-0,Brookewood,3,3,1.0,50.0,6,2,0.167,0,0.0,0,0,0,0,0,0.0,0,2,0,0.7,9,0,3.0,1,0.3,33.3,3,1,66.7,0
09/09,1,W 3-0,Atlanta Area School for the Deaf,3,9,3.0,64.3,14,1,0.571,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,7,1,2.3,7,2.3,63.6,11,2,81.8,0
09/09,2,W 3-0,Alabama School for the Deaf,3,10,3.3,62.5,16,1,0.562,1,0.3,0,0,0,0,0,0.0,0,1,0,0.3,7,1,2.3,9,3.0,47.4,19,1,94.7,0
09/12,1,W 3-0,Washington Christian Academy,3,3,1.0,37.5,8,1,0.25,0,0.0,0,0,0,0,0,0.0,0,1,0,0.3,8,1,2.7,1,0.3,14.3,7,1,85.7,0
09/14,1,W 3-0,McLean,3,17,5.7,89.5,19,1,0.842,0,0.0,0,0,2,1,3,1.0,2,3,0,1.0,9,0,3.0,1,0.3,20.0,5,1,80.0,0
09/16,1,W 3-0,Friends,3,11,3.7,35.5,31,2,0.29,3,1.0,0,0,0,0,0,0.0,0,7,0,2.3,10,1,3.3,3,1.0,30.0,10,1,90.0,0
09/19,1,L 0-3,Bishop O'Connell,3,3,1.0,16.7,18,6,-0.167,0,0.0,0,0,0,0,0,0.0,1,10,0,3.3,23,3,7.7,0,0.0,0.0,7,1,85.7,0
09/21,1,W 3-0,Grace Christian Academy,3,8,2.7,66.7,12,0,0.667,1,0.3,0,0,0,0,0,0.0,0,10,0,3.3,20,2,6.7,2,0.7,14.3,14,1,92.9,0
