match_key,career_match_index,career_stage,season,season_match_number,season_stage,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,deaf_school,match_type,game_importance,game_importance_score,event_name,milestone_flag,set_scores,set_count,set_result,set_diff,result,location,forfeited,injured,sick,comeback_win,revenge_match,redemption_game,highlight_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,did_play,played_all_sets,favorite_match,stats_available,personal_performance_score,personal_performance_score_norm100,personal_performance_score_norm01,personal_performance_per_set,personal_performance_per_set_norm100,personal_performance_per_set_norm01,season_avg_performance_score,season_avg_performance_score_norm100,season_avg_performance_score_norm01,personal_performance_percentile,personal_performance_percentile_norm01,performance_brilliance_score,performance_brilliance_score_norm100,performance_brilliance_score_norm01,performance_label,fan_excitement,game_rating,clutch_factor,clutch_performance_flag,below_avg_performance,form_trend_label,efficiency_score,offensive_focus_score,defensive_impact_score,zero_stat_match,season_highs_flags,career_highs_flags,record_breaker_flag,best_performance_of_season,best_match_of_season,heartbreaker,dominant_sweep,momentum_swing,deciding_set_win,deciding_set_loss,bounceback_win,opponent_strength_tier,upset_victory,predictable_match,team_needed_win,energy_boost_game,confidence_boost_game,high_impact_win,offense_dominant_match,defense_dominant_match,balanced_match,low_error_game,win_streak,loss_streak,prev_result,prev_percentile,prev_win_streak,prev_loss_streak,was_set_swept,swept_opponent,deciding_set_played,sets_played,kills_attacking,kills_per_set_attacking,kill_pct_attacking,kill_att_attacking,kill_err_attacking,hit_pct_attacking,assists_ball_handling,assists_per_set_ball_handling,ball_handling_att_ball_handling,ball_handling_err_ball_handling,solo_blks_blocking,assisted_blks_blocking,total_blks_blocking,blks_per_set_blocking,blk_err_blocking,digs_digging,dig_err_digging,digs_per_set_digging,receiving_serve_receiving,receiving_err_serve_receiving,receiving_per_set_serve_receiving,aces_serving,aces_per_set_serving,ace_pct_serving,serve_att_serving,serve_err_serving,serve_pct_serving,points_serving,maxpreps
FR_09-01_TA_1,1.0,early,FR,1,early,2016-09-01,Thursday,1,0,False,1,1,1,False,,,1,Takoma Academy,TA,1,False,False,False,regular,low,0,,first MSSD match; first FR match,"25-22,25-19,25-13",3,3-0,3,W,away,False,False,False,False,False,False,False,False,False,False,False,False,75,54,0.163,False,False,True,True,False,True,543.1,44.1,0.441,181.03,25.1,0.251,462.32,0.0,0.0,61.8,0.618,3,37.5,0.375,QUIET,0.3,1.17,0.0,False,False,FLAT,49.37,0.986,6.67,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,1,0,,,,,False,True,False,3.0,5.0,1.7,20.0,25.0,6.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.3,13.0,2.0,4.3,6.0,2.0,40.0,15.0,2.0,86.7,0.0,https://www.maxpreps.com/games/09-01-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-takoma-academy.htm?c=RvM_PsTPpUqW-rKrugJlqw#tab=box-score&schoolid=
FR_09-09_RCSA_1,2.0,early,FR,2,early,2016-09-09,Friday,2,8,False,3,1,3,True,True,False,1,River City Science Academy,RCSA,1,False,False,False,regular,low,0,FSDB Invitational 2016,,"25-11,25-19",2,2-0,2,W,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,30,0.25,False,False,True,True,False,True,722.4,62.7,0.627,361.2,56.8,0.568,462.32,0.0,0.0,91.2,0.912,6,75.0,0.75,SOLID,0.6,1.56,0.0,False,False,FLAT,361.2,0.979,9.0,False,points_serving;total_blks_blocking,,False,False,False,False,True,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,True,2,0,W,61.765,1.0,0.0,False,True,False,2.0,6.0,3.0,42.9,14.0,1.0,0.357,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,5.0,0.0,2.5,13.0,0.0,6.5,2.0,1.0,33.3,6.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-09-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-river-city-science-academy.htm?c=pi9qfk1i5EmrOFHajdNXlA#tab=box-score&schoolid=
FR_09-09_INTERLACHEN_2,3.0,early,FR,3,early,2016-09-09,Friday,2,0,False,3,2,3,True,False,False,1,Interlachen,INTERLACHEN,1,False,False,False,regular,low,0,FSDB Invitational 2016,,"25-14,25-19",2,2-0,2,W,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,33,0.205,False,False,True,True,False,True,588.5,48.8,0.488,294.25,45.0,0.45,462.32,0.0,0.0,69.1,0.691,3,37.5,0.375,QUIET,0.6,1.27,0.0,False,False,FLAT,98.08,0.98,9.0,False,points_serving;total_blks_blocking,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,3,0,W,91.176,2.0,0.0,False,True,False,2.0,3.0,1.5,16.7,18.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,10.0,0.0,5.0,8.0,2.0,4.0,4.0,2.0,50.0,8.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-09-2016/volleyball-16/interlachen-vs-model-secondary-school-for-the-deaf.htm?c=kA1J5gUZYkGHUe9qPJ2ZFQ#tab=box-score&schoolid=
FR_09-09_FSDB_3,4.0,early,FR,4,early,2016-09-09,Friday,2,0,False,3,3,3,True,False,True,1,Florida School for the Deaf & Blind,FSDB,1,False,False,True,regular,low,0,FSDB Invitational 2016,,"26-24,25-14",2,2-0,2,W,away,False,False,False,False,False,False,False,False,False,False,True,False,51,38,0.146,False,False,True,True,False,True,719.0,62.3,0.623,359.5,56.5,0.565,462.32,0.0,0.0,88.2,0.882,6,75.0,0.75,SOLID,0.6,1.56,0.0,False,False,FLAT,102.71,0.989,8.0,False,points_serving;total_blks_blocking,,False,False,False,False,True,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,4,0,W,69.118,3.0,0.0,False,True,False,2.0,3.0,1.5,20.0,15.0,4.0,-0.067,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,4.0,0.0,2.0,12.0,2.0,6.0,5.0,2.5,62.5,8.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-09-2016/volleyball-16/florida-school-for-the-deaf-and-blind-vs-model-secondary-school-for-the-deaf.htm?c=57jGU_XGx064Xen13AMNDQ#tab=box-score&schoolid=
FR_09-17_AIDB_1,5.0,early,FR,5,early,2016-09-17,Saturday,3,8,False,1,1,1,False,,,1,Alabama School for the Deaf,AIDB,1,False,False,True,regular,low,0,,,"25-21,25-13,25-11",3,3-0,3,W,home,False,False,False,False,False,False,False,False,False,False,False,False,75,45,0.25,False,False,True,True,False,True,650.3,55.2,0.552,216.77,31.4,0.314,462.32,0.0,0.0,76.5,0.765,3,37.5,0.375,QUIET,0.0,1.41,0.0,False,False,FLAT,81.29,0.979,7.33,False,kills_attacking;points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,5,0,W,88.235,4.0,0.0,False,True,False,3.0,11.0,3.7,44.0,25.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.3,12.0,0.0,4.0,2.0,0.7,22.2,9.0,1.0,88.9,0.0,https://www.maxpreps.com/games/09-17-2016/volleyball-16/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=kXOQNahMc02EHVChPD9akw#tab=box-score&schoolid=
FR_09-20_SJDS_1,6.0,early,FR,6,early,2016-09-20,Tuesday,3,3,False,1,1,1,False,,,1,Smith Jewish Day School,SJDS,1,False,False,False,regular,low,0,,,"25-8,25-18,25-11",3,3-0,3,W,home,False,False,False,False,False,False,False,False,True,False,False,False,75,37,0.339,False,False,True,True,False,True,651.2,55.3,0.553,217.07,31.4,0.314,462.32,0.0,0.0,79.4,0.794,3,37.5,0.375,QUIET,0.0,1.41,0.0,False,False,FLAT,130.24,0.971,8.0,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,6,0,W,76.471,5.0,0.0,False,True,False,3.0,7.0,2.3,31.8,22.0,3.0,0.182,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,12.0,1.0,4.0,3.0,1.0,37.5,8.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-20-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=7PNjdNdlz0CeKtt37FNG9Q
FR_09-22_RB_1,7.0,early,FR,7,early,2016-09-22,Thursday,4,2,False,2,1,1,False,,,1,Riverdale Baptist,RB,1,False,False,False,regular,low,0,,,"25-16,25-12,25-22",3,3-0,3,W,away,False,False,False,False,False,False,False,False,False,False,False,False,75,50,0.2,False,False,True,True,False,True,652.0,55.4,0.554,217.33,31.5,0.315,462.32,0.0,0.0,82.4,0.824,4,50.0,0.5,QUIET,0.0,1.41,0.0,False,False,UP,108.67,0.959,11.67,False,points_serving,,False,False,False,False,True,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,7,0,W,79.412,6.0,0.0,False,True,False,3.0,5.0,1.7,45.5,11.0,1.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,6.3,16.0,3.0,5.3,2.0,0.7,20.0,10.0,1.0,90.0,0.0,https://www.maxpreps.com/games/09-22-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=nxuukkNYG0GZqKd8l3qQdw#tab=box-score&schoolid=
FR_09-24_CSHC_1,,,FR,12,early,2016-09-24,Saturday,4,0,False,6,1,5,True,True,False,1,Connelly School of the Holy Child,CSHC,1,False,False,False,forfeit,low,0,Model Invitational 2016,,,0,0,0,W,home,True,False,False,False,False,False,False,False,False,False,True,False,0,0,,False,False,False,False,False,True,,,,,,,,,,,,0,0.0,0.0,,0.6,,,False,False,,,,,False,,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,False,False,False,False,8,0,W,82.353,7.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.maxpreps.com/games/09-24-2016/volleyball-16/connelly-school-of-the-holy-child-vs-model-secondary-school-for-the-deaf.htm?c=jBxjGiIWW0u7_teU_JgZVg#tab=matchup&schoolid=
FR_09-24_ISA_2,8.0,early,FR,11,early,2016-09-24,Saturday,4,0,False,6,2,5,True,False,False,1,Islamic Saudi Academy,ISA,1,False,False,False,regular,low,0,Model Invitational 2016,,"20-25,17-25",2,0-2,-2,L,home,False,False,False,False,False,False,False,False,False,False,True,False,50,37,0.149,False,True,True,True,False,True,120.7,0.4,0.004,60.35,3.8,0.038,462.32,0.0,0.0,5.9,0.059,3,37.5,0.375,QUIET,0.6,0.26,0.0,False,True,DOWN,17.24,0.932,7.5,False,points_serving;assists_ball_handling,,False,False,False,False,False,True,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,1,W,,8.0,0.0,True,False,False,2.0,1.0,0.5,11.1,9.0,3.0,-0.222,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,11.0,2.0,5.5,0.0,0.0,0.0,3.0,1.0,66.7,0.0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/islamic-saudi-academy-vs-model-secondary-school-for-the-deaf.htm?c=vIP1JGBVT0OrNQn3k7Vbug#tab=box-score&schoolid=
FR_09-24_SIDWELL_3,9.0,early,FR,10,early,2016-09-24,Saturday,4,0,False,6,3,5,True,False,False,1,Sidwell Friends,SIDWELL,1,False,False,False,regular,low,0,Model Invitational 2016,,"25-20,25-22",2,2-0,2,W,home,False,False,False,False,False,False,False,False,False,False,True,False,50,42,0.087,False,False,True,True,False,True,588.5,48.8,0.488,294.25,45.0,0.45,462.32,0.0,0.0,69.1,0.691,3,37.5,0.375,QUIET,0.8,1.27,0.0,False,False,FLAT,147.12,0.973,10.0,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,1,0,L,5.882,0.0,1.0,False,True,False,2.0,3.0,1.5,16.7,18.0,2.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,10.0,1.0,5.0,1.0,0.5,50.0,2.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=JEvBgo21gkC-Z8s4LWkp1A#tab=box-score&schoolid=
