date,result,opponent,sets_played,assists,assists_per_set,ball_handling_att,ball_handling_err
09/01,W 3-0,Takoma Academy,3,0,0,0,0
09/09,W 2-0,River City Science Academy,2,0,0,0,0
09/09,W 2-0,Interlachen,2,0,0,0,0
09/09,W 2-0,Florida School for the Deaf & Blind,2,0,0,0,0
09/17,W 3-0,Alabama School for the Deaf,3,0,0,0,0
09/20,W 3-0,Smith Jewish Day School,3,1,0.3,0,0
09/22,W 3-0,Riverdale Baptist,3,0,0,0,0
09/24,L 0-2,Islamic Saudi Academy,2,2,1,0,0
09/24,W 2-0,Sidwell Friends,2,0,0,0,0
09/24,L 0-2,Jackson-Reed,2,0,0,0,0
09/24,W 2-1,Sidwell Friends,3,1,0.3,0,0
10/04,W 3-0,Oakcrest,3,0,0,0,0
10/07,L 0-2,Maryland School for the Deaf,2,0,0,0,0
10/07,W 2-1,California School for the Deaf-Riverside,3,0,0,0,0
10/07,L 0-2,Texas School for the Deaf,2,0,0,0,0
10/07,L 1-2,California School for the Deaf,3,0,0,0,0
10/08,L 0-2,Indiana School for the Deaf,2,0,0,0,0
10/08,L 0-2,California School for the Deaf,2,0,0,0,0
10/08,L 1-2,California School for the Deaf-Riverside,3,0,0,0,0
10/11,W 3-0,Riverdale Baptist,3,0,0,0,0
10/12,W 3-1,Burke,4,1,0.3,0,0
10/13,W 3-0,Berman Hebrew Academy,3,0,0,0,0
10/15,W 3-0,Mississippi School for the Deaf,3,2,0.7,0,0
10/18,W 3-0,Spencerville Adventist Academy,3,1,0.3,0,0
10/19,L 2-3,Washington International,5,1,0.2,0,0
10/20,W 3-0,Field,1,0,0,0,0
10/21,L 1-3,Stone Ridge School of the Sacred Heart,4,1,0.3,0,0
10/24,L 0-3,Covenant Life,3,0,0,0,0
10/26,L 0-3,King Abdullah Academy,3,0,0,0,0
10/27,L 0-3,Georgetown Day,3,0,0,0,0
11/08,W 3-0,Parkside,3,0,0,0,0
11/09,W 3-0,Jackson-Reed,3,0,0,0,0
11/10,W 3-0,Maret,3,2,0.7,0,0
11/11,L 0-3,St. John's,3,0,0,0,0
