date,result,opponent,sets_played,digs,dig_err,digs_per_set
09/01,W 3-0,Takoma Academy,3,7,0,2.3
09/09,W 2-0,River City Science Academy,2,5,0,2.5
09/09,W 2-0,Interlachen,2,10,0,5
09/09,W 2-0,Florida School for the Deaf & Blind,2,4,0,2
09/17,W 3-0,Alabama School for the Deaf,3,10,0,3.3
09/20,W 3-0,Smith Jewish Day School,3,12,0,4
09/22,W 3-0,Riverdale Baptist,3,19,0,6.3
09/24,L 0-2,Islamic Saudi Academy,2,4,0,2
09/24,W 2-0,Sidwell Friends,2,10,0,5
09/24,L 0-2,Jackson-Reed,2,2,0,1
09/24,W 2-1,Sidwell Friends,3,6,0,2
10/04,W 3-0,Oakcrest,3,12,0,4
10/07,L 0-2,Maryland School for the Deaf,2,2,0,1
10/07,W 2-1,California School for the Deaf-Riverside,3,9,0,3
10/07,L 0-2,Texas School for the Deaf,2,11,0,5.5
10/07,L 1-2,California School for the Deaf,3,2,0,0.7
10/08,L 0-2,Indiana School for the Deaf,2,3,0,1.5
10/08,L 0-2,California School for the Deaf,2,7,0,3.5
10/08,L 1-2,California School for the Deaf-Riverside,3,8,0,2.7
10/11,W 3-0,Riverdale Baptist,3,11,0,3.7
10/12,W 3-1,Burke,4,6,0,1.5
10/13,W 3-0,Berman Hebrew Academy,3,7,0,2.3
10/15,W 3-0,Mississippi School for the Deaf,3,8,0,2.7
10/18,W 3-0,Spencerville Adventist Academy,3,17,0,5.7
10/19,L 2-3,Washington International,5,23,0,4.6
10/20,W 3-0,Field,1,0,0,0
10/21,L 1-3,Stone Ridge School of the Sacred Heart,4,18,0,4.5
10/24,L 0-3,Covenant Life,3,8,0,2.7
10/26,L 0-3,King Abdullah Academy,3,1,0,0.3
10/27,L 0-3,Georgetown Day,3,17,0,5.7
11/08,W 3-0,Parkside,3,11,0,3.7
11/09,W 3-0,Jackson-Reed,3,11,0,3.7
11/10,W 3-0,Maret,3,9,0,3
11/11,L 0-3,St. John's,3,13,0,4.3
