date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
09/01,W 3-0,Takoma Academy,
09/09,W 2-0,River City Science Academy,
09/09,W 2-0,Interlachen,
09/09,W 2-0,Florida School for the Deaf & Blind,
09/17,W 3-0,Alabama School for the Deaf,
09/20,W 3-0,Smith Jewish Day School,
09/22,W 3-0,Riverdale Baptist,
09/24,L 0-2,Islamic Saudi Academy,
09/24,W 2-0,Sidwell Friends,
09/24,L 0-2,Jackson-Reed,
09/24,W 2-1,Sidwell Friends,
10/04,W 3-0,Oakcrest,
10/07,L 0-2,Maryland School for the Deaf,
10/07,W 2-1,California School for the Deaf-Riverside,
10/07,L 0-2,Texas School for the Deaf,
10/07,L 1-2,California School for the Deaf,
10/08,L 0-2,Indiana School for the Deaf,
10/08,L 0-2,California School for the Deaf,
10/08,L 1-2,California School for the Deaf-Riverside,
10/11,W 3-0,Riverdale Baptist,
10/12,W 3-1,Burke,
10/13,W 3-0,Berman Hebrew Academy,
10/15,W 3-0,Mississippi School for the Deaf,
10/18,W 3-0,Spencerville Adventist Academy,
10/19,L 2-3,Washington International,
10/20,W 3-0,Field,
10/21,L 1-3,Stone Ridge School of the Sacred Heart,
10/24,L 0-3,Covenant Life,
10/26,L 0-3,King Abdullah Academy,
10/27,L 0-3,Georgetown Day,
11/08,W 3-0,Parkside,
11/09,W 3-0,Jackson-Reed,
11/10,W 3-0,Maret,
11/11,L 0-3,St. John's,
