date,result,opponent,sets_played,receiving,receiving_err,receiving_per_set
09/01,W 3-0,Takoma Academy,3,13,2,4.3
09/09,W 2-0,River City Science Academy,2,13,0,6.5
09/09,W 2-0,Interlachen,2,8,2,4
09/09,W 2-0,Florida School for the Deaf & Blind,2,12,2,6
09/17,W 3-0,Alabama School for the Deaf,3,12,0,4
09/20,W 3-0,Smith Jewish Day School,3,12,1,4
09/22,W 3-0,Riverdale Baptist,3,16,3,5.3
09/24,L 0-2,Islamic Saudi Academy,2,11,2,5.5
09/24,W 2-0,Sidwell Friends,2,10,1,5
09/24,L 0-2,Jackson-Reed,2,4,0,2
09/24,W 2-1,Sidwell Friends,3,8,1,2.7
10/04,W 3-0,Oakcrest,3,7,4,2.3
10/07,L 0-2,Maryland School for the Deaf,2,10,1,5
10/07,W 2-1,California School for the Deaf-Riverside,3,7,2,2.3
10/07,L 0-2,Texas School for the Deaf,2,9,3,4.5
10/07,L 1-2,California School for the Deaf,3,16,4,5.3
10/08,L 0-2,Indiana School for the Deaf,2,10,4,5
10/08,L 0-2,California School for the Deaf,2,14,1,7
10/08,L 1-2,California School for the Deaf-Riverside,3,7,3,2.3
10/11,W 3-0,Riverdale Baptist,3,15,3,5
10/12,W 3-1,Burke,4,9,1,2.3
10/13,W 3-0,Berman Hebrew Academy,3,3,0,1
10/15,W 3-0,Mississippi School for the Deaf,3,5,1,1.7
10/18,W 3-0,Spencerville Adventist Academy,3,16,1,5.3
10/19,L 2-3,Washington International,5,16,1,3.2
10/20,W 3-0,Field,1,2,0,2
10/21,L 1-3,Stone Ridge School of the Sacred Heart,4,23,2,5.8
10/24,L 0-3,Covenant Life,3,17,4,5.7
10/26,L 0-3,King Abdullah Academy,3,10,3,3.3
10/27,L 0-3,Georgetown Day,3,16,3,5.3
11/08,W 3-0,Parkside,3,6,0,2
11/09,W 3-0,Jackson-Reed,3,12,3,4
11/10,W 3-0,Maret,3,14,4,4.7
11/11,L 0-3,St. John's,3,17,2,5.7
