date,result,opponent,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct
08/29,W 3-2,Maret,5,11,2.2,34.4,32,4,0.219
09/03,W 3-0,DC International,3,10,3.3,33.3,30,7,0.1
09/05,L 0-3,Covenant Life,3,5,1.7,14.3,35,5,0
09/07,L 0-2,Bishop Ireton,2,5,2.5,23.8,21,5,0
09/07,W 2-1,Highland,3,7,2.3,21.2,33,3,0.121
09/07,L 1-2,Episcopal,3,7,2.3,22.6,31,8,-0.032
09/10,W 3-0,Spencerville Adventist Academy,3,6,2,40,15,0,0.4
09/12,L 0-3,Bishop Ireton,3,4,1.3,17.4,23,2,0.087
09/14,W 2-0,Shalom Christian Academy,2,8,4,30.8,26,1,0.269
09/14,T 1-1,Maryland School for the Deaf,2,6,3,25,24,2,0.167
09/14,L 0-2,St. John's Catholic Prep,2,4,2,23.5,17,4,0
09/14,W 2-1,Maryland School for the Deaf,3,5,1.7,23.8,21,0,0.238
09/14,W 2-0,Varsity Opponent,2,4,2,33.3,12,0,0.333
09/17,W 3-1,Washington Christian Academy,4,13,3.3,36.1,36,5,0.222
09/19,W 3-0,Varsity Opponent,3,7,2.3,43.8,16,2,0.312
09/21,L 1-2,DC International,3,10,3.3,29.4,34,6,0.118
09/21,W 2-0,School Without Walls,2,1,0.5,25,4,1,0
09/21,W 2-0,King Abdullah Academy,2,6,3,54.5,11,0,0.545
09/21,W 2-0,Bullis,2,4,2,19,21,2,0.095
09/21,L 0-2,Bullis,2,4,2,23.5,17,0,0.235
09/24,W 3-0,Field,3,12,4,54.5,22,3,0.409
09/25,W 3-0,Varsity Opponent,3,7,2.3,41.2,17,4,0.176
09/27,L 1-3,Georgetown Day,4,8,2,17.8,45,3,0.111
09/30,W 3-0,Sandy Spring Friends,3,6,2,42.9,14,2,0.286
10/04,W 2-0,Indiana School for the Deaf,2,11,5.5,36.7,30,4,0.233
10/04,W 2-0,California School for the Deaf,2,7,3.5,28,25,3,0.16
10/04,L 0-2,Texas School for the Deaf,2,2,1,9.1,22,6,-0.182
10/04,W 2-1,California School for the Deaf-Riverside,3,10,3.3,41.7,24,3,0.292
10/05,W 2-0,Indiana School for the Deaf,2,7,3.5,25,28,4,0.107
10/05,L 0-2,Texas School for the Deaf,2,7,3.5,22.6,31,5,0.065
10/08,W 3-0,Oakcrest,3,14,4.7,50,28,1,0.464
10/10,W 3-0,Varsity Opponent,3,5,1.7,62.5,8,1,0.5
10/12,L 1-2,Roosevelt,2,5,2.5,25,20,3,0.1
10/12,W 2-0,Mount Airy Christian Academy,2,7,3.5,36.8,19,2,0.263
10/12,L 0-2,Princess Anne,2,3,1.5,16.7,18,7,-0.222
10/12,W 2-0,King Abdullah Academy,2,7,3.5,43.8,16,2,0.312
10/12,W 2-0,Mount Airy Christian Academy,2,9,4.5,34.6,26,0,0.346
10/15,W 3-0,Washington International,3,13,4.3,37.1,35,3,0.286
10/17,W 3-0,Barrie,3,7,2.3,70,10,1,0.6
10/18,W 3-1,King Abdullah Academy,4,13,3.3,31.7,41,5,0.195
10/23,W 3-0,Varsity Opponent,3,6,2,46.2,13,1,0.385
10/28,W 3-0,Sandy Spring Friends,3,10,3.3,34.5,29,6,0.138
10/30,W 3-0,Washington International,3,14,4.7,33.3,42,5,0.214
11/05,W 3-0,Bell,3,8,2.7,53.3,15,2,0.4
11/06,L 0-3,St. John's,3,9,3,29,31,4,0.161
