date,result,opponent,sets_played,assists,assists_per_set,ball_handling_att,ball_handling_err
08/29,W 3-2,Maret,5,3,0.6,16,1
09/03,W 3-0,DC International,3,2,0.7,13,0
09/05,L 0-3,Covenant Life,3,0,0,5,0
09/07,L 0-2,Bishop Ireton,2,0,0,3,0
09/07,W 2-1,Highland,3,0,0,1,0
09/07,L 1-2,Episcopal,3,0,0,5,0
09/10,W 3-0,Spencerville Adventist Academy,3,0,0,4,1
09/12,L 0-3,Bishop Ireton,3,0,0,4,1
09/14,W 2-0,Shalom Christian Academy,2,1,0.5,1,0
09/14,T 1-1,Maryland School for the Deaf,2,0,0,2,0
09/14,L 0-2,St. John's Catholic Prep,2,1,0.5,2,0
09/14,W 2-1,Maryland School for the Deaf,3,0,0,3,0
09/14,W 2-0,Varsity Opponent,2,0,0,1,0
09/17,W 3-1,Washington Christian Academy,4,0,0,3,0
09/19,W 3-0,Varsity Opponent,3,2,0.7,2,0
09/21,L 1-2,DC International,3,0,0,1,0
09/21,W 2-0,School Without Walls,2,0,0,1,0
09/21,W 2-0,King Abdullah Academy,2,0,0,0,0
09/21,W 2-0,Bullis,2,1,0.5,2,0
09/21,L 0-2,Bullis,2,0,0,1,0
09/24,W 3-0,Field,3,0,0,1,0
09/25,W 3-0,Varsity Opponent,3,0,0,1,0
09/27,L 1-3,Georgetown Day,4,1,0.3,4,0
09/30,W 3-0,Sandy Spring Friends,3,0,0,0,0
10/04,W 2-0,Indiana School for the Deaf,2,0,0,1,0
10/04,W 2-0,California School for the Deaf,2,0,0,1,0
10/04,L 0-2,Texas School for the Deaf,2,0,0,0,0
10/04,W 2-1,California School for the Deaf-Riverside,3,0,0,5,1
10/05,W 2-0,Indiana School for the Deaf,2,0,0,2,0
10/05,L 0-2,Texas School for the Deaf,2,0,0,0,0
10/08,W 3-0,Oakcrest,3,0,0,2,0
10/10,W 3-0,Varsity Opponent,3,0,0,0,0
10/12,L 1-2,Roosevelt,2,0,0,3,0
10/12,W 2-0,Mount Airy Christian Academy,2,1,0.5,4,0
10/12,L 0-2,Princess Anne,2,0,0,0,0
10/12,W 2-0,King Abdullah Academy,2,0,0,0,0
10/12,W 2-0,Mount Airy Christian Academy,2,1,0.5,1,0
10/15,W 3-0,Washington International,3,1,0.3,3,0
10/17,W 3-0,Barrie,3,0,0,2,0
10/18,W 3-1,King Abdullah Academy,4,1,0.3,4,0
10/23,W 3-0,Varsity Opponent,3,0,0,0,0
10/28,W 3-0,Sandy Spring Friends,3,0,0,2,0
10/30,W 3-0,Washington International,3,0,0,3,0
11/05,W 3-0,Bell,3,1,0.3,2,0
11/06,L 0-3,St. John's,3,0,0,5,0
