date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
date,result,opponent,sets_played,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points
08/29,W 3-2,Maret,
09/03,W 3-0,DC International,
09/05,L 0-3,Covenant Life,
09/07,L 0-2,Bishop Ireton,
09/07,W 2-1,Highland,
09/07,L 1-2,Episcopal,
09/10,W 3-0,Spencerville Adventist Academy,
09/12,L 0-3,Bishop Ireton,
09/14,W 2-0,Shalom Christian Academy,
09/14,T 1-1,Maryland School for the Deaf,
09/14,L 0-2,St. John's Catholic Prep,
09/14,W 2-1,Maryland School for the Deaf,
09/14,W 2-0,Varsity Opponent,
09/17,W 3-1,Washington Christian Academy,
09/19,W 3-0,Varsity Opponent,
09/21,L 1-2,DC International,
09/21,W 2-0,School Without Walls,
09/21,W 2-0,King Abdullah Academy,
09/21,W 2-0,Bullis,
09/21,L 0-2,Bullis,
09/24,W 3-0,Field,
09/25,W 3-0,Varsity Opponent,
09/27,L 1-3,Georgetown Day,
09/30,W 3-0,Sandy Spring Friends,
10/04,W 2-0,Indiana School for the Deaf,
10/04,W 2-0,California School for the Deaf,
10/04,L 0-2,Texas School for the Deaf,
10/04,W 2-1,California School for the Deaf-Riverside,
10/05,W 2-0,Indiana School for the Deaf,
10/05,L 0-2,Texas School for the Deaf,
10/08,W 3-0,Oakcrest,
10/10,W 3-0,Varsity Opponent,
10/12,L 1-2,Roosevelt,
10/12,W 2-0,Mount Airy Christian Academy,
10/12,L 0-2,Princess Anne,
10/12,W 2-0,King Abdullah Academy,
10/12,W 2-0,Mount Airy Christian Academy,
10/15,W 3-0,Washington International,
10/17,W 3-0,Barrie,
10/18,W 3-1,King Abdullah Academy,
10/23,W 3-0,Varsity Opponent,
10/28,W 3-0,Sandy Spring Friends,
10/30,W 3-0,Washington International,
11/05,W 3-0,Bell,
11/06,L 0-3,St. John's,
