date,result,opponent,sets_played,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points
08/29,W 3-2,Maret,5,14,2.8,42.4,33,2,93.9,24
09/03,W 3-0,DC International,3,6,2,33.3,18,2,88.9,12
09/05,L 0-3,Covenant Life,3,0,0,0,6,0,100,1
09/07,L 0-2,Bishop Ireton,2,0,0,0,7,1,85.7,3
09/07,W 2-1,Highland,3,2,0.7,18.2,11,1,90.9,13
09/07,L 1-2,Episcopal,3,3,1,23.1,13,1,92.3,9
09/10,W 3-0,Spencerville Adventist Academy,3,5,1.7,31.3,16,3,81.2,10
09/12,L 0-3,Bishop Ireton,3,0,0,0,9,0,100,3
09/14,W 2-0,Shalom Christian Academy,2,0,0,0,6,1,83.3,2
09/14,T 1-1,Maryland School for the Deaf,2,2,1,22.2,9,2,77.8,5
09/14,L 0-2,St. John's Catholic Prep,2,1,0.5,12.5,8,1,87.5,4
09/14,W 2-1,Maryland School for the Deaf,3,1,0.3,11.1,9,1,88.9,3
09/14,W 2-0,Varsity Opponent,2,3,1.5,30,10,1,90,8
09/17,W 3-1,Washington Christian Academy,4,8,2,30.8,26,3,88.5,19
09/19,W 3-0,Varsity Opponent,3,14,4.7,53.8,26,2,92.3,22
09/21,L 1-2,DC International,3,1,0.3,12.5,8,1,87.5,4
09/21,W 2-0,School Without Walls,2,4,2,36.4,11,0,100,9
09/21,W 2-0,King Abdullah Academy,2,4,2,50,8,2,75,6
09/21,W 2-0,Bullis,2,6,3,54.5,11,0,100,9
09/21,L 0-2,Bullis,2,0,0,0,5,1,80,1
09/24,W 3-0,Field,3,5,1.7,22.7,22,1,95.5,16
09/25,W 3-0,Varsity Opponent,3,4,1.3,23.5,17,0,100,12
09/27,L 1-3,Georgetown Day,4,3,0.8,23.1,13,1,92.3,6
09/30,W 3-0,Sandy Spring Friends,3,7,2.3,41.2,17,1,94.1,14
10/04,W 2-0,Indiana School for the Deaf,2,3,1.5,37.5,8,0,100,5
10/04,W 2-0,California School for the Deaf,2,4,2,57.1,7,0,100,5
10/04,L 0-2,Texas School for the Deaf,2,1,0.5,14.3,7,0,100,4
10/04,W 2-1,California School for the Deaf-Riverside,3,3,1,23.1,13,0,100,8
10/05,W 2-0,Indiana School for the Deaf,2,0,0,0,6,0,100,3
10/05,L 0-2,Texas School for the Deaf,2,1,0.5,16.7,6,0,100,2
10/08,W 3-0,Oakcrest,3,3,1,30,10,2,80,4
10/10,W 3-0,Varsity Opponent,3,4,1.3,36.4,11,2,81.8,7
10/12,L 1-2,Roosevelt,2,2,1,22.2,9,0,100,6
10/12,W 2-0,Mount Airy Christian Academy,2,2,1,28.6,7,2,71.4,4
10/12,L 0-2,Princess Anne,2,1,0.5,33.3,3,0,100,1
10/12,W 2-0,King Abdullah Academy,2,0,0,0,7,0,100,3
10/12,W 2-0,Mount Airy Christian Academy,2,1,0.5,12.5,8,0,100,3
10/15,W 3-0,Washington International,3,1,0.3,5.9,17,1,94.1,11
10/17,W 3-0,Barrie,3,1,0.3,16.7,6,2,66.7,3
10/18,W 3-1,King Abdullah Academy,4,7,1.8,43.8,16,0,100,9
10/23,W 3-0,Varsity Opponent,3,7,2.3,50,14,1,92.9,10
10/28,W 3-0,Sandy Spring Friends,3,9,3,52.9,17,1,94.1,12
10/30,W 3-0,Washington International,3,5,1.7,33.3,15,3,80,9
11/05,W 3-0,Bell,3,4,1.3,44.4,9,3,66.7,5
11/06,L 0-3,St. John's,3,1,0.3,11.1,9,1,88.9,3
