date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
08/29,Spencerville Adventist Academy,W,3-0,
09/05,Maret,L,0-3,,
09/07,Brookewood,W,3-0,
09/09,Atlanta Area School for the Deaf,W,3-0,
09/09,Alabama School for the Deaf,W,3-0,
09/12,Washington Christian Academy,W,3-0,
09/14,McLean,W,3-0,
09/16,Friends,W,3-0,
09/19,Bishop O'Connell,L,0-3,
09/21,Grace Christian Academy,W,3-0,
09/23,King Abdullah Academy,W,2-1,
09/23,Sidwell Friends,L,1-2,
09/23,E.L. Haynes,W,2-0,
09/23,Jackson-Reed,L,0-2,
09/26,Covenant Life,L,1-3,
09/28,Smith Jewish Day School,W,3-0,
10/03,Washington International,L,1-3
10/06,Texas School for the Deaf,L,0-2,
10/06,Maryland School for the Deaf,L,0-2,
10/06,California School for the Deaf-Riverside,W,2-1,
10/06,California School for the Deaf,L,1-2,
10/07,California School for the Deaf-Riverside,L,1-2,
10/07,Indiana School for the Deaf,L,0-2,
10/07,California School for the Deaf,L,1-2,
10/10,Burke,W,3-0,
10/12,Clinton Grace Christian,W,3-0,
10/14,Bell,W,3-0,
10/17,Field,W,3-0,
10/18,Bishop Ireton,L,0-3,
10/20,King Abdullah Academy,L,0-3,
10/23,Washington Christian Academy,W,3-0,
10/25,Burke,W,3-0,
10/30,Washington International,L,2-3
