match_key,career_match_index,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,match_type,game_importance,game_importance_score,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,location,injured,sick,forfeited,favorite_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
FR_09-01_TA_1,1,FR,1,2016-09-01,Thursday,1,0,False,1,1,1,,,1,Takoma Academy,TA,1,False,False,regular,low,0,W,"25-22,25-19,25-13",3-0,3,3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-01-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-takoma-academy.htm?c=RvM_PsTPpUqW-rKrugJlqw#tab=box-score&schoolid=
FR_09-09_RCSA_1,2,FR,2,2016-09-09,Friday,2,8,False,3,1,3,True,False,1,River City Science Academy,RCSA,1,False,False,regular,low,0,W,"25-11,25-19",2-0,2,2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-09-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-river-city-science-academy.htm?c=pi9qfk1i5EmrOFHajdNXlA#tab=box-score&schoolid=
FR_09-09_INTERLACHEN_2,3,FR,3,2016-09-09,Friday,2,0,False,3,2,3,False,False,1,Interlachen,INTERLACHEN,1,False,False,regular,low,0,W,"25-14,25-19",2-0,2,2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-09-2016/volleyball-16/interlachen-vs-model-secondary-school-for-the-deaf.htm?c=kA1J5gUZYkGHUe9qPJ2ZFQ#tab=box-score&schoolid=
FR_09-09_FSDB_3,4,FR,4,2016-09-09,Friday,2,0,False,3,3,3,False,True,1,Florida School for the Deaf & Blind,FSDB,1,False,False,regular,low,0,W,"26-24,25-14",2-0,2,2,False,False,False,away,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-09-2016/volleyball-16/florida-school-for-the-deaf-and-blind-vs-model-secondary-school-for-the-deaf.htm?c=57jGU_XGx064Xen13AMNDQ#tab=box-score&schoolid=
FR_09-17_AIDB_1,5,FR,5,2016-09-17,Saturday,3,8,False,1,1,1,,,1,Alabama School for the Deaf,AIDB,1,False,False,regular,low,0,W,"25-21,25-13,25-11",3-0,3,3,False,False,False,home,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-17-2016/volleyball-16/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=kXOQNahMc02EHVChPD9akw#tab=box-score&schoolid=
FR_09-20_SJDS_1,6,FR,6,2016-09-20,Tuesday,3,3,False,1,1,1,,,1,Smith Jewish Day School,SJDS,1,False,False,regular,low,0,W,"25-8,25-18,25-11",3-0,3,3,False,False,False,home,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-20-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=7PNjdNdlz0CeKtt37FNG9Q
FR_09-22_RB_1,7,FR,7,2016-09-22,Thursday,4,2,False,2,1,1,,,1,Riverdale Baptist,RB,1,False,False,regular,low,0,W,"25-16,25-12,25-22",3-0,3,3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-22-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=nxuukkNYG0GZqKd8l3qQdw#tab=box-score&schoolid=
FR_09-24_CSHC_1,8,FR,8,2016-09-24,Saturday,4,2,False,6,1,5,True,False,1,Connelly School of the Holy Child,CSHC,1,False,False,forfeit,low,0,W,,0,0,0,False,False,False,home,False,False,True,False,False,False,False,True,False,https://www.maxpreps.com/games/09-24-2016/volleyball-16/connelly-school-of-the-holy-child-vs-model-secondary-school-for-the-deaf.htm?c=jBxjGiIWW0u7_teU_JgZVg#tab=matchup&schoolid=
FR_09-24_ISA_2,9,FR,9,2016-09-24,Saturday,4,0,False,6,2,5,False,False,1,Islamic Saudi Academy,ISA,1,False,False,forfeit,low,0,L,"20-25,17-25",0-2,2,-2,False,False,False,home,False,False,True,False,False,False,False,True,False,https://www.maxpreps.com/games/09-24-2016/volleyball-16/islamic-saudi-academy-vs-model-secondary-school-for-the-deaf.htm?c=vIP1JGBVT0OrNQn3k7Vbug#tab=box-score&schoolid=
FR_09-24_SIDWELL_3,10,FR,10,2016-09-24,Saturday,4,0,False,6,3,5,False,False,1,Sidwell Friends,SIDWELL,1,False,False,forfeit,low,0,W,"25-20,25-22",2-0,2,2,False,False,False,home,False,False,True,False,False,False,False,True,False,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=JEvBgo21gkC-Z8s4LWkp1A#tab=box-score&schoolid=
